,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,K_Means,Churn
29,5.0,0,2,14.0,3,0,2.0,3.0,0,1,2,2.0,0,14.0,2.0,3.0,7.0,189.98,0,0
30,2.0,0,0,6.0,0,1,2.0,3.0,2,2,0,2.0,0,13.0,0.0,1.0,9.0,143.19,3,0
31,10.0,1,0,13.0,1,1,2.0,4.0,2,2,0,3.0,0,17.0,1.0,1.0,0.0,161.32,3,0
32,30.0,1,0,15.0,1,0,3.0,4.0,3,3,0,5.0,1,20.0,1.0,1.0,0.0,133.46,3,0
33,13.0,1,2,10.0,3,1,3.0,4.0,0,1,0,8.0,0,11.0,2.0,2.0,11.0,208.55,2,0
34,10.0,0,2,8.0,3,0,3.0,3.0,3,2,0,7.0,0,18.0,1.0,1.0,2.0,122.31,3,0
35,10.0,1,0,14.0,1,1,3.0,3.0,3,1,0,2.0,0,24.0,0.0,2.0,2.0,123.22999999999999,3,0
36,10.0,0,0,15.0,1,1,2.0,3.0,3,3,1,7.0,0,18.0,0.0,2.0,2.0,120.24000000000001,3,0
37,1.0,1,0,27.0,1,1,3.0,3.0,3,1,0,2.0,0,11.0,0.0,1.0,2.0,127.13,3,0
38,30.0,1,0,30.0,2,1,2.0,2.0,0,1,1,4.0,1,16.0,1.0,1.0,4.0,194.39,2,0
39,10.0,0,0,14.0,1,1,3.0,4.0,3,2,1,2.0,1,15.0,0.0,1.0,1.0,125.66,3,0
40,23.0,1,0,17.0,2,0,2.0,3.0,4,3,2,4.0,0,15.0,2.0,4.0,4.0,272.32625,2,0
41,14.0,1,0,14.0,2,1,2.0,3.0,3,2,1,5.0,0,12.0,1.0,1.0,8.0,124.50999999999999,3,0
42,3.0,1,2,11.0,2,0,2.0,3.0,0,1,0,3.0,0,12.0,2.0,6.0,4.0,194.19,0,0
43,11.0,1,2,6.0,2,0,2.0,4.0,2,1,2,5.0,0,22.0,1.0,1.0,1.0,186.86,3,0
44,5.0,1,0,12.0,2,1,3.0,3.0,3,2,2,4.0,0,20.0,0.0,1.0,4.0,130.38,3,0
45,10.0,1,0,23.0,0,1,3.0,3.0,3,3,0,1.0,1,16.0,1.0,1.0,1.0,130.58,3,0
46,10.0,0,2,14.0,0,0,3.0,5.0,3,4,2,1.0,0,21.0,1.0,1.0,0.0,123.25,1,1
47,10.0,0,0,9.0,1,1,1.0,3.0,3,3,2,5.0,0,12.0,3.5,6.0,2.0,120.88,0,0
48,3.0,0,0,15.0,1,1,3.0,3.0,2,4,1,2.0,0,11.0,0.0,6.0,10.0,130.72,0,0
49,18.0,1,2,10.0,2,0,1.0,3.0,2,4,1,5.0,1,11.0,0.0,1.0,3.0,150.06,3,0
50,29.0,1,0,14.0,2,0,3.0,3.0,3,4,1,5.0,1,18.0,1.0,2.0,2.0,142.57,3,0
51,6.0,1,0,14.0,2,1,2.0,3.0,3,1,2,1.0,0,14.0,0.0,1.0,2.0,125.0,3,0
52,10.0,1,0,8.0,2,1,2.0,4.0,3,1,2,2.0,0,22.0,0.0,1.0,0.0,111.02000000000001,3,1
53,19.0,1,2,6.0,3,0,3.0,3.0,0,4,1,2.0,0,25.0,3.5,6.0,7.0,204.53,0,0
54,10.0,1,0,15.0,2,0,3.0,3.0,3,1,2,2.0,0,12.0,1.0,2.0,1.0,122.88,3,0
55,4.0,1,0,18.0,1,0,3.0,3.0,3,1,0,9.0,1,23.0,1.0,1.0,2.0,139.29,1,0
56,10.0,1,0,33.0,1,0,3.0,3.0,3,3,2,3.0,0,15.0,1.0,1.0,2.0,123.11000000000001,3,0
57,4.0,1,2,26.0,3,0,3.0,3.0,3,3,2,2.0,1,22.0,0.0,1.0,2.0,131.4,3,1
58,23.0,1,0,6.0,1,1,2.0,4.0,3,2,0,3.0,0,15.0,0.0,1.0,2.0,136.9,3,0
59,26.0,1,0,19.0,1,0,2.0,2.0,2,4,1,2.0,0,11.0,1.0,1.0,3.0,144.5,3,0
60,6.0,1,0,20.0,1,0,3.0,3.0,3,3,0,2.0,0,13.0,0.0,1.0,6.0,127.56,3,0
61,13.0,1,0,10.0,1,0,2.0,3.0,4,2,0,2.0,0,14.0,1.0,6.0,9.0,272.32625,0,0
62,28.0,1,0,20.0,1,1,3.0,2.0,4,3,2,9.0,0,11.0,1.0,2.0,14.5,272.32625,2,0
63,7.0,0,0,8.0,2,1,2.0,4.0,2,2,0,2.0,0,17.0,0.0,1.0,9.0,195.47,3,0
64,24.0,1,0,9.0,1,0,3.0,3.0,1,3,2,4.0,0,18.0,0.0,2.0,0.0,237.33999999999997,2,0
65,25.0,1,0,6.0,2,1,3.0,4.0,4,2,0,1.0,0,15.0,1.0,6.0,9.0,272.32625,0,0
66,10.0,1,0,15.0,1,0,2.0,3.0,3,3,2,2.0,0,16.0,1.0,1.0,3.0,122.78999999999999,3,0
67,10.0,1,0,29.0,2,1,2.0,4.0,2,2,0,4.0,1,13.0,1.0,1.0,1.0,159.16,3,1
68,10.0,0,0,13.0,1,1,2.0,2.0,3,1,1,5.0,0,14.0,0.0,2.0,2.0,120.88999999999999,3,0
69,18.0,0,0,8.0,1,1,3.0,4.0,1,1,0,10.0,0,23.0,1.0,6.0,8.0,267.92,2,0
70,10.0,1,0,27.0,2,1,3.0,2.0,3,4,0,2.0,1,12.0,0.0,1.0,7.0,135.64,3,0
71,8.0,0,0,8.0,1,0,2.0,3.0,2,3,2,6.0,0,11.0,1.0,1.0,2.0,144.25,3,0
72,15.0,0,0,27.0,1,0,2.0,3.0,2,2,1,3.0,0,16.0,0.0,1.0,2.0,152.65,3,0
73,11.0,1,0,8.0,2,1,2.0,3.0,2,2,0,10.0,0,14.0,0.0,1.0,0.0,165.53,3,0
74,11.0,1,0,35.0,0,1,2.0,3.0,2,1,0,4.0,0,18.0,0.0,1.0,7.0,162.61,3,0
75,10.0,0,0,6.0,0,1,2.0,4.0,2,4,0,6.0,0,19.0,0.0,2.0,0.0,142.98,3,0
76,22.0,0,0,24.0,2,1,3.0,3.0,2,1,1,2.0,1,15.0,0.0,1.0,7.0,168.04,3,0
77,7.0,0,0,16.0,1,1,2.0,3.0,3,2,1,2.0,1,17.0,2.0,2.0,0.0,138.15,3,0
78,13.0,1,0,25.0,1,1,3.0,3.0,2,1,0,9.0,1,15.0,1.0,3.0,7.0,127.41,2,0
79,1.0,1,0,35.0,1,1,3.0,3.0,2,4,0,8.0,1,19.0,0.0,1.0,0.0,166.73,3,1
80,10.0,1,2,33.0,3,0,2.0,3.0,0,1,0,2.0,0,22.0,1.0,1.0,9.0,176.39,2,1
81,10.0,1,0,14.0,2,1,2.0,2.0,3,3,1,2.0,1,16.0,0.0,2.0,2.0,123.28,3,0
82,10.0,0,0,24.0,1,0,3.0,3.0,3,1,2,2.0,0,13.0,1.0,1.0,7.0,121.53,3,0
83,13.0,0,0,15.0,2,1,3.0,4.0,2,1,0,10.0,0,14.0,1.0,1.0,2.0,148.76,1,0
84,19.0,1,0,6.0,1,1,3.0,3.0,0,4,1,8.0,0,16.0,0.0,1.0,3.0,193.96,2,0
85,10.0,1,2,10.0,1,1,2.0,5.0,0,1,0,2.0,0,11.0,3.5,6.0,8.0,204.0,0,1
86,3.0,0,0,6.0,2,1,2.0,4.0,0,2,2,2.0,0,22.0,2.0,5.0,8.0,184.74,0,0
87,10.0,0,2,26.0,2,0,2.0,3.0,2,2,2,2.0,0,14.0,1.0,1.0,7.0,199.81,3,0
88,24.0,1,0,14.0,2,1,2.0,4.0,0,3,0,6.0,0,16.0,1.0,4.0,3.0,224.89999999999998,2,0
89,10.0,1,0,14.0,0,0,2.0,3.0,3,4,2,6.0,1,11.0,1.0,1.0,4.0,126.57,3,1
90,14.0,1,2,12.0,2,0,3.0,3.0,0,1,2,4.0,1,18.0,0.0,2.0,0.0,235.91000000000003,2,0
91,10.0,0,2,32.0,3,0,2.0,4.0,2,4,2,6.0,0,15.0,0.0,1.0,1.0,166.96,3,1
92,10.0,1,0,6.0,0,1,2.0,3.0,3,2,2,1.0,0,14.0,0.0,1.0,5.0,120.58000000000001,3,1
93,18.0,0,2,12.0,1,0,2.0,4.0,0,1,2,7.0,0,12.0,3.5,6.0,8.0,188.65,0,0
94,27.0,1,2,9.0,3,0,2.0,3.0,2,4,0,3.0,0,14.0,1.0,1.0,5.0,159.4,3,0
95,9.0,1,0,11.0,2,1,3.0,3.0,2,3,2,9.0,0,16.0,0.0,3.0,7.0,159.14,3,0
96,6.0,1,0,14.0,1,0,2.0,4.0,3,3,0,7.0,0,21.0,0.0,1.0,1.0,126.22,3,0
97,10.0,0,0,17.0,4,1,2.0,3.0,0,1,1,2.0,1,14.0,0.0,1.0,3.0,221.85000000000002,3,0
98,11.0,1,2,9.0,2,1,3.0,3.0,0,2,1,1.0,0,12.0,1.0,5.0,13.0,206.08999999999997,0,0
99,4.0,0,0,6.0,1,1,2.0,5.0,2,2,0,1.0,0,12.0,1.0,1.0,4.0,143.45,3,0
100,10.0,1,0,9.0,2,1,3.0,4.0,3,1,0,4.0,0,17.0,0.0,1.0,0.0,121.77000000000001,3,0
101,10.0,0,2,10.0,3,1,2.0,3.0,3,1,1,5.0,0,17.0,1.0,5.0,8.0,69.83625,3,0
102,2.0,0,2,6.0,1,0,2.0,3.0,0,1,0,2.0,0,14.0,3.5,4.0,1.0,179.18,0,0
103,8.0,0,2,6.0,3,0,3.0,3.0,0,2,2,2.0,0,14.0,1.0,1.0,8.0,187.89,3,0
104,10.0,1,0,14.0,1,1,2.0,4.0,3,1,2,2.0,1,13.0,0.0,1.0,1.0,123.88999999999999,3,1
105,25.0,1,0,8.0,2,0,2.0,4.0,3,1,2,8.0,0,15.0,0.0,2.0,2.0,132.12,3,0
106,15.0,1,0,10.0,0,1,2.0,3.0,4,1,0,2.0,0,15.0,0.0,6.0,14.5,272.32625,0,0
107,10.0,1,1,12.0,1,1,2.0,3.0,3,2,0,9.0,0,17.0,2.0,2.0,2.0,122.66999999999999,3,0
108,23.0,1,2,6.0,1,0,3.0,3.0,4,1,1,4.0,0,15.0,1.0,1.0,6.0,272.32625,2,0
109,10.0,1,0,14.0,1,1,2.0,3.0,3,1,0,6.0,1,13.0,0.0,1.0,4.0,124.36000000000001,3,1
110,16.0,1,2,22.0,3,0,3.0,3.0,1,1,0,6.0,1,22.0,0.0,2.0,9.0,260.64,2,0
111,10.0,1,0,8.0,2,0,3.0,3.0,3,4,0,8.0,0,20.0,1.0,1.0,7.0,127.07,3,1
112,25.0,0,2,8.0,2,1,3.0,4.0,4,2,2,2.0,1,18.0,1.0,6.0,12.0,272.32625,0,0
113,5.0,1,2,10.0,2,0,2.0,3.0,3,3,0,3.0,0,11.0,1.0,1.0,2.0,139.31,3,0
114,10.0,1,0,6.0,2,1,3.0,4.0,3,2,2,1.0,1,14.0,1.0,1.0,2.0,137.3,3,1
115,10.0,1,0,6.0,1,0,3.0,3.0,3,2,1,8.0,0,14.0,0.0,1.0,2.0,122.32,3,0
116,5.0,0,2,32.0,3,1,3.0,3.0,2,1,0,1.0,0,18.0,1.0,2.0,2.0,144.65,3,0
117,14.0,1,0,25.0,2,1,3.0,3.0,2,4,1,3.0,0,16.0,1.0,1.0,0.0,130.72,3,0
118,13.0,1,0,30.0,0,1,3.0,3.0,2,1,1,2.0,0,17.0,2.0,4.0,7.0,133.19,0,0
119,18.0,1,0,6.0,4,1,3.0,2.0,4,1,0,1.0,0,15.0,1.0,1.0,7.0,272.32625,2,0
120,4.0,0,0,9.0,1,1,3.0,3.0,0,2,1,10.0,0,12.0,1.0,2.0,2.0,236.75,2,0
121,6.0,1,0,11.0,2,0,3.0,4.0,3,1,0,2.0,0,13.0,0.0,1.0,2.0,129.11,3,0
122,7.0,1,0,8.0,2,1,2.0,4.0,2,4,0,7.0,0,13.0,0.0,5.0,9.0,159.57,3,0
123,10.0,1,0,6.0,1,0,2.0,4.0,3,4,0,3.0,0,14.0,1.0,1.0,2.0,139.2,3,0
124,18.0,0,0,13.0,2,1,3.0,2.0,2,2,0,5.0,0,17.0,0.0,1.0,2.0,164.34,3,0
125,10.0,0,0,16.0,1,1,3.0,3.0,0,2,1,7.0,0,11.0,1.0,1.0,0.0,200.48,2,1
126,12.0,0,0,8.0,0,0,3.0,3.0,0,2,2,1.0,0,25.0,3.5,6.0,3.0,209.38,0,0
127,2.0,1,0,14.0,2,1,2.0,3.0,3,1,2,2.0,0,19.0,0.0,1.0,5.0,123.4,3,0
128,15.0,1,0,23.0,2,0,2.0,2.0,2,4,2,4.0,1,13.0,0.0,1.0,2.0,165.45,3,0
129,2.0,1,2,26.0,3,1,2.0,3.0,2,1,1,3.0,0,14.0,1.0,1.0,2.0,169.31,3,0
130,10.0,1,0,6.0,2,0,3.0,3.0,2,2,0,1.0,0,12.0,1.0,1.0,2.0,148.98,3,0
131,15.0,1,0,14.0,1,0,2.0,4.0,3,4,1,1.0,1,11.0,3.5,6.0,8.0,125.93,0,0
132,13.0,1,0,8.0,1,1,2.0,3.0,4,2,1,1.0,0,15.0,0.0,3.0,9.0,272.32625,3,0
133,24.0,1,0,6.0,2,1,3.0,3.0,3,1,0,2.0,0,11.0,1.0,1.0,0.0,127.22999999999999,3,0
134,10.0,0,0,35.0,1,1,3.0,4.0,3,3,2,1.0,0,11.0,1.0,1.0,4.0,134.79,3,1
135,5.0,0,0,13.0,2,1,3.0,2.0,3,3,0,2.0,0,20.0,0.0,1.0,3.0,127.94,3,0
136,11.0,0,2,8.0,2,1,2.0,4.0,2,1,0,4.0,0,18.0,3.5,6.0,5.0,152.49,0,0
137,10.0,1,0,8.0,0,1,2.0,4.0,2,4,2,5.0,0,13.0,0.0,1.0,4.0,121.75999999999999,3,0
138,19.0,1,2,8.0,0,0,3.0,5.0,1,3,0,4.0,1,12.0,1.0,6.0,7.0,268.72,2,0
139,10.0,1,0,8.0,2,1,3.0,3.0,3,2,2,3.0,0,11.0,1.0,1.0,0.0,134.85,3,1
140,2.0,1,2,8.0,1,1,3.0,4.0,2,3,0,3.0,0,19.0,0.0,1.0,0.0,166.44,3,0
141,4.0,1,0,29.0,1,1,3.0,4.0,2,1,0,1.0,0,21.0,1.0,6.0,8.0,155.82,0,0
142,10.0,0,0,11.0,2,1,2.0,2.0,2,4,1,2.0,0,12.0,1.0,1.0,5.0,140.0,3,0
143,18.0,1,0,26.0,1,1,3.0,3.0,1,1,0,1.0,1,14.0,0.0,2.0,10.0,234.95999999999998,2,0
144,9.0,1,0,12.0,2,1,2.0,3.0,3,1,0,1.0,0,11.0,3.5,6.0,11.0,132.1,0,0
145,28.0,1,0,6.0,1,1,2.0,3.0,4,4,2,1.0,1,14.0,1.0,4.0,13.0,272.32625,2,0
146,10.0,0,0,35.0,2,1,2.0,3.0,0,3,0,2.0,1,12.0,3.5,6.0,3.0,218.49,0,1
147,10.0,1,0,15.0,1,1,3.0,3.0,3,1,0,2.0,0,23.0,1.0,1.0,4.0,120.69999999999999,3,0
148,10.0,1,2,12.0,1,1,3.0,3.0,2,1,0,5.0,0,14.0,0.0,1.0,1.0,165.02,3,0
149,10.0,1,0,9.0,1,1,3.0,4.0,3,2,2,2.0,0,17.0,1.0,1.0,0.0,132.3,3,0
150,10.0,0,0,6.0,1,0,0.5,3.0,0,1,1,3.0,1,18.0,0.0,2.0,2.0,236.02999999999997,3,0
151,2.0,1,0,28.0,2,0,3.0,2.0,0,3,1,8.0,0,18.0,3.5,6.0,3.0,219.95999999999998,0,0
152,11.0,1,2,13.0,1,0,2.0,2.0,2,4,1,2.0,1,24.0,0.0,6.0,7.0,156.05,3,0
153,10.0,0,0,6.0,2,0,2.0,3.0,2,3,1,2.0,0,20.0,0.0,1.0,4.0,163.97,3,0
154,23.0,1,0,10.0,2,1,3.0,3.0,4,3,1,4.0,0,14.0,1.0,1.0,6.0,272.32625,2,0
155,26.0,1,0,9.0,1,1,2.0,3.0,1,2,0,4.0,1,16.0,1.0,1.0,3.0,272.32625,2,0
156,15.0,1,2,6.0,2,1,2.0,3.0,2,2,0,2.0,0,25.0,3.5,6.0,6.0,149.07,0,0
157,2.0,0,2,8.0,2,1,2.0,3.0,2,1,2,2.0,0,18.0,0.0,1.0,9.0,145.54,3,0
158,28.0,1,0,26.0,0,1,2.0,3.0,2,1,0,4.0,1,19.0,1.0,1.0,8.0,154.15,2,0
159,10.0,0,0,17.0,1,1,2.0,3.0,2,4,0,2.0,1,13.0,2.0,3.0,3.0,147.41,3,0
160,10.0,1,0,6.0,2,0,2.0,3.0,3,1,2,2.0,0,12.0,1.0,5.0,7.0,121.15,3,0
161,7.0,0,0,30.0,2,1,3.0,3.0,3,2,1,4.0,1,22.0,0.0,1.0,0.0,131.61,3,1
162,11.0,1,0,29.0,2,1,2.0,3.0,2,1,1,10.0,0,14.0,0.0,1.0,2.0,157.45,3,0
163,10.0,1,0,14.0,1,1,2.0,3.0,3,3,1,3.0,1,13.0,1.0,1.0,2.0,123.72999999999999,3,1
164,1.0,1,0,14.0,2,0,3.0,3.0,3,1,2,2.0,0,21.0,0.0,1.0,2.0,133.1,3,0
165,22.0,0,0,16.0,2,0,2.0,3.0,4,4,2,10.0,1,11.0,1.0,1.0,2.0,272.32625,2,0
166,9.0,1,0,9.0,0,1,1.0,3.0,2,3,2,5.0,0,12.0,3.5,6.0,7.0,144.85,0,0
167,4.0,0,2,11.0,3,0,3.0,3.0,3,3,1,2.0,0,11.0,0.0,2.0,2.0,127.88999999999999,3,0
168,10.0,1,2,10.0,3,1,2.0,4.0,2,1,2,2.0,1,12.0,3.5,6.0,4.0,158.28,0,1
169,10.0,0,0,14.0,1,1,2.0,3.0,3,1,0,2.0,1,12.0,0.0,1.0,2.0,123.25999999999999,3,0
170,15.0,0,2,32.0,3,0,3.0,3.0,1,3,0,6.0,0,14.0,2.0,2.0,8.0,235.25,2,0
171,10.0,1,0,9.0,2,1,2.0,3.0,3,2,2,2.0,0,13.0,0.0,1.0,0.0,114.19999999999999,3,1
172,8.0,1,2,22.0,3,1,3.0,3.0,0,3,0,1.0,0,15.0,3.0,6.0,9.0,180.2,0,0
173,9.0,0,0,24.0,2,1,2.0,2.0,3,1,0,5.0,0,18.0,0.0,1.0,0.0,136.88,3,0
174,24.0,1,0,8.0,1,1,2.0,5.0,2,3,1,6.0,0,18.0,0.0,1.0,2.0,154.82,3,0
175,14.0,1,2,8.0,2,1,2.0,3.0,1,3,2,2.0,0,19.0,1.0,2.0,4.0,260.15,2,0
176,10.0,1,2,16.0,1,0,3.0,4.0,3,2,2,2.0,0,12.0,1.0,1.0,0.0,112.0,3,0
177,1.0,1,0,22.0,1,1,3.0,2.0,2,4,2,1.0,0,19.0,0.0,1.0,7.0,156.61,3,0
178,4.0,1,2,13.0,0,1,3.0,2.0,2,1,0,5.0,0,11.0,3.0,6.0,7.0,169.29,0,0
179,12.0,1,0,6.0,1,1,2.0,2.0,0,1,1,1.0,0,17.0,3.0,3.0,7.0,196.13,0,0
180,9.0,0,0,30.0,2,0,2.0,3.0,2,3,0,8.0,0,15.0,0.0,1.0,8.0,156.74,3,0
181,5.0,1,2,13.0,2,1,3.0,4.0,2,2,0,2.0,0,14.0,1.0,4.0,8.0,154.84,0,0
182,11.0,1,0,31.0,2,0,2.0,4.0,0,3,0,4.0,0,17.0,1.0,1.0,3.0,220.61,2,0
183,30.0,0,0,6.0,2,1,2.0,5.0,2,2,1,3.0,1,13.0,1.0,1.0,2.0,156.6,3,0
184,4.0,1,0,11.0,0,1,2.0,3.0,3,1,0,1.0,1,12.0,0.0,1.0,3.0,148.21,3,0
185,4.0,1,1,8.0,4,1,3.0,4.0,2,4,0,4.0,0,12.0,0.0,1.0,0.0,164.1,3,0
186,18.0,0,0,13.0,2,1,3.0,3.0,0,4,1,2.0,0,18.0,3.5,6.0,11.0,152.1,0,0
187,4.0,1,0,8.0,2,1,3.0,3.0,3,1,1,1.0,1,18.0,1.0,2.0,2.0,126.94999999999999,3,0
188,6.0,0,0,11.0,2,0,3.0,3.0,0,3,0,7.0,0,11.0,2.0,6.0,3.0,218.77999999999997,0,0
189,12.0,1,0,16.0,1,1,2.0,3.0,1,4,0,2.0,1,14.0,1.0,6.0,10.0,270.68,0,0
190,16.0,0,0,14.0,2,0,2.0,3.0,3,1,2,1.0,0,19.0,0.0,1.0,7.0,124.55000000000001,3,0
191,22.0,1,0,6.0,0,0,2.0,4.0,1,2,2,8.0,1,12.0,1.0,2.0,7.0,239.64,2,0
192,15.0,1,0,14.0,1,1,2.0,4.0,2,3,0,3.0,0,15.0,3.5,6.0,7.0,149.41,0,1
193,10.0,1,0,14.0,2,0,2.0,3.0,3,3,2,2.0,1,12.0,0.0,1.0,2.0,124.78,3,0
194,5.0,1,2,14.0,0,0,3.0,4.0,2,3,0,2.0,1,11.0,3.5,6.0,9.0,152.28,0,0
195,10.0,1,2,8.0,2,1,3.0,3.0,2,2,2,2.0,1,11.0,1.0,1.0,4.0,144.78,3,0
196,4.0,1,2,13.0,3,1,3.0,3.0,2,1,1,5.0,0,12.0,0.0,1.0,7.0,175.47,3,0
197,5.0,1,0,8.0,1,0,3.0,2.0,2,1,2,8.0,0,16.0,1.0,1.0,7.0,150.55,3,0
198,10.0,1,0,8.0,1,1,2.0,5.0,3,1,0,6.0,1,13.0,2.0,2.0,2.0,134.64,1,1
199,3.0,1,0,34.0,1,0,3.0,3.0,2,1,0,2.0,0,13.0,0.0,1.0,9.0,157.75,3,0
200,4.0,0,0,13.0,2,0,2.0,4.0,0,2,0,2.0,0,24.0,3.0,6.0,9.0,189.43,0,0
201,12.0,0,0,5.0,1,1,2.0,4.0,4,1,0,2.0,0,15.0,3.5,6.0,3.0,272.32625,0,0
202,2.0,1,2,9.0,1,0,2.0,3.0,2,2,0,5.0,1,18.0,1.0,1.0,0.0,152.38,3,1
203,6.0,0,2,16.0,3,1,2.0,4.0,2,1,2,4.0,0,14.0,1.0,1.0,1.0,146.82,3,0
204,20.0,1,0,11.0,2,1,2.0,3.0,4,2,0,5.0,0,11.0,1.0,1.0,1.0,272.32625,2,0
205,16.0,0,0,16.0,2,0,2.0,4.0,2,2,1,2.0,0,11.0,0.0,1.0,0.0,152.57,3,0
206,10.0,0,2,6.0,3,1,3.0,3.0,2,3,0,1.0,1,13.0,0.0,1.0,4.0,163.49,3,0
207,27.0,0,0,26.0,2,0,2.0,3.0,2,2,2,4.0,0,12.0,1.0,1.0,3.0,148.69,3,0
208,16.0,1,0,13.0,2,0,2.0,3.0,0,4,0,9.0,0,16.0,1.0,1.0,0.0,199.85,2,0
209,18.0,1,0,14.0,4,1,3.0,3.0,2,1,0,10.0,0,14.0,3.5,6.0,8.0,136.97,0,0
210,13.0,1,2,6.0,1,1,2.0,5.0,2,1,0,3.0,1,22.0,1.0,1.0,2.0,174.57,3,0
211,10.0,1,0,14.0,4,1,3.0,5.0,3,4,0,2.0,1,11.0,1.0,1.0,7.0,121.19,1,1
212,2.0,1,0,15.0,4,1,1.0,4.0,3,1,2,1.0,0,17.0,2.0,2.0,2.0,139.83,3,0
213,3.0,1,2,11.0,3,0,1.0,4.0,2,2,1,2.0,0,13.0,0.0,1.0,2.0,161.18,3,0
214,10.0,1,2,14.0,3,0,2.0,3.0,2,3,0,2.0,0,18.0,0.0,1.0,7.0,162.14,3,0
215,10.0,1,0,11.0,1,1,3.0,3.0,2,1,1,8.0,0,16.0,0.0,1.0,4.0,163.47,3,0
216,11.0,1,0,21.0,2,1,3.0,4.0,0,1,1,1.0,1,14.0,1.0,2.0,3.0,215.10000000000002,2,0
